Scheme,AUROC
edges_peak,0.734886566132078
exponential_decreasing,0.7335567435304131
quadratic_decreasing,0.7327056570653474
linear_decreasing,0.7324662889970478
first_k,0.7273863666586877
only_beginning,0.7272001914944546
first_last_k,0.7256044043724567
unweight_middle,0.7253384398521238
low_uncertainty_only,0.7250724753317908
uniform,0.7240884066065588
unweight_end,0.7240086172504587
negate_last_3,0.718769116199899
confidence_proportional,0.7187425197478656
high_uncertainty_only,0.7171467326258678
negate_last_20pct,0.7165350142291018
nll_sqrt,0.7147796483949042
surprisal,0.7141413335461049
negate_last_5,0.713609404505439
last_k,0.7122529854517407
negate_first_3,0.7092741828240112
gaussian_middle,0.7086890608792786
recency_bias,0.708369903454879
nll_proportional,0.707119870209314
negate_first_20pct,0.7044868214580174
nll_quintic,0.7039814888693848
nll_quartic,0.7036091385409187
nll_cubic,0.7033431740205857
linear_increasing,0.6998324423521902
exponential_increasing,0.6975451474773264
quadratic_increasing,0.6940078193568977
middle_peak,0.6938216441926648
nll_squared_negate_end,0.6921194712625336
nll_cubic_middle_focus,0.6918801031942339
unweight_beginning,0.6910024202771351
nll_squared_middle_focus,0.690550280592569
nll_cubic_negate_end,0.689938562195803
only_end,0.6746721987286897
only_middle,0.6658687731056677
